tam_entrada, resultado, tempo_usuario, tempo_sistema
7951, 145, 5.8236200, 0.0000000
8001, 145, 5.8832620, 0.0000000
8051, 146, 6.0749120, 0.0000000
8101, 146, 5.8937340, 0.0000000
8151, 146, 5.8326860, 0.0000000
8201, 147, 5.8405850, 0.0000000
8251, 148, 5.8823550, 0.0000000
8301, 148, 5.9695850, 0.0000000
8351, 149, 6.0476650, 0.0000000
8401, 149, 6.1039580, 0.0000000
8451, 150, 6.3468650, 0.0000000
8501, 150, 6.2712370, 0.0000000
8551, 151, 6.7208720, 0.0000000
8601, 151, 6.7245110, 0.0000000
8651, 152, 6.6564970, 0.0000000
8701, 152, 6.5734200, 0.0000000
8751, 153, 6.7744240, 0.0000000
8801, 153, 6.7863150, 0.0000000
8851, 153, 6.9138370, 0.0000000
8901, 154, 6.9771960, 0.0000000
8951, 155, 6.9547010, 0.0000000
9001, 155, 7.0276750, 0.0000000
9051, 155, 7.4763310, 0.0000000
9101, 155, 7.2972410, 0.0000000
9151, 156, 7.3337720, 0.0000000
9201, 157, 7.4023860, 0.0000000
9251, 157, 7.4066070, 0.0000000
9301, 157, 7.4996740, 0.0000000
9351, 157, 7.6328800, 0.0000000
9401, 158, 7.6962680, 0.0000000
9451, 159, 7.8542820, 0.0039980
9501, 159, 7.9253380, 0.0000000
9551, 160, 8.0175880, 0.0000010
9601, 160, 8.8016930, 0.0000000
9651, 161, 8.5807110, 0.0000000
9701, 161, 8.3638300, 0.0000000
9751, 162, 8.4830860, 0.0000000
9801, 163, 8.7109490, 0.0039990
9851, 163, 8.5459780, 0.0000000
9901, 164, 8.5880240, 0.0000000
9951, 164, 8.6245450, 0.0000000
