tam_entrada, resultado, tempo_usuario, tempo_sistema
146, 18, 0.0017100, 0.0000000
147, 18, 0.0017230, 0.0000000
148, 18, 0.0017560, 0.0000000
149, 18, 0.0019330, 0.0000000
150, 18, 0.0020480, 0.0000000
151, 18, 0.0018160, 0.0000000
152, 18, 0.0019950, 0.0000000
153, 18, 0.0018700, 0.0000000
154, 18, 0.0019110, 0.0000000
155, 18, 0.0019170, 0.0000000
156, 18, 0.0019450, 0.0000000
157, 18, 0.0020470, 0.0000000
158, 18, 0.0024750, 0.0000000
159, 18, 0.0038070, 0.0000000
160, 19, 0.0039370, 0.0000000
161, 19, 0.0039560, 0.0000000
162, 19, 0.0033110, 0.0033150
163, 19, 0.0024670, 0.0007170
164, 19, 0.0027260, 0.0000000
165, 19, 0.0022200, 0.0000190
166, 19, 0.0022090, 0.0000000
167, 19, 0.0023190, 0.0000000
168, 19, 0.0022690, 0.0000000
169, 19, 0.0026470, 0.0000000
170, 19, 0.0023610, 0.0000000
171, 19, 0.0023420, 0.0000000
172, 19, 0.0023760, 0.0000000
173, 19, 0.0024370, 0.0000000
174, 19, 0.0025910, 0.0000000
175, 19, 0.0024830, 0.0000000
176, 20, 0.0028030, 0.0000000
177, 20, 0.0025200, 0.0000000
178, 20, 0.0025430, 0.0000000
179, 21, 0.0025700, 0.0000000
180, 21, 0.0033330, 0.0000000
181, 21, 0.0043800, 0.0000000
182, 21, 0.0044120, 0.0000000
183, 21, 0.0048940, 0.0000000
184, 21, 0.0028930, 0.0000000
185, 21, 0.0033100, 0.0000000
186, 21, 0.0037830, 0.0000000
187, 21, 0.0028080, 0.0000000
188, 21, 0.0028260, 0.0000000
189, 21, 0.0040400, 0.0000000
190, 21, 0.0037820, 0.0000000
191, 21, 0.0031920, 0.0000000
192, 21, 0.0047950, 0.0000000
193, 21, 0.0054740, 0.0000000
194, 21, 0.0046430, 0.0000000
195, 21, 0.0043260, 0.0000000
196, 21, 0.0033230, 0.0000000
197, 21, 0.0031310, 0.0000000
198, 21, 0.0032920, 0.0000000
199, 21, 0.0038290, 0.0000000
200, 22, 0.0034880, 0.0000000
201, 22, 0.0036090, 0.0000000
202, 22, 0.0033040, 0.0000000
203, 22, 0.0035910, 0.0000000
204, 22, 0.0035970, 0.0000000
205, 22, 0.0035290, 0.0000000
206, 22, 0.0033900, 0.0000000
207, 22, 0.0035020, 0.0000000
208, 22, 0.0042830, 0.0000000
209, 22, 0.0035010, 0.0000000
210, 22, 0.0036910, 0.0000000
211, 23, 0.0035700, 0.0000000
212, 23, 0.0038410, 0.0000000
213, 23, 0.0039290, 0.0000000
214, 23, 0.0038240, 0.0000000
215, 23, 0.0037040, 0.0000000
216, 23, 0.0038370, 0.0000000
217, 23, 0.0061190, 0.0000000
218, 23, 0.0075710, 0.0000000
219, 23, 0.0052890, 0.0000000
220, 23, 0.0043820, 0.0000000
221, 24, 0.0054940, 0.0000000
222, 24, 0.0039980, 0.0000000
223, 24, 0.0069090, 0.0000000
224, 24, 0.0058250, 0.0000000
225, 24, 0.0042260, 0.0000000
226, 24, 0.0071850, 0.0000000
227, 24, 0.0058960, 0.0000000
228, 24, 0.0047170, 0.0000000
229, 24, 0.0073780, 0.0000000
230, 24, 0.0042780, 0.0000000
231, 24, 0.0054900, 0.0000000
232, 24, 0.0047340, 0.0000000
233, 24, 0.0044980, 0.0000000
234, 25, 0.0043940, 0.0000000
235, 25, 0.0069960, 0.0000000
236, 25, 0.0060080, 0.0000000
237, 25, 0.0081790, 0.0000000
238, 25, 0.0047440, 0.0000000
239, 25, 0.0047460, 0.0000000
240, 25, 0.0052080, 0.0000000
241, 25, 0.0056780, 0.0000000
242, 25, 0.0048680, 0.0000000
243, 25, 0.0051240, 0.0000000
244, 25, 0.0051460, 0.0000000
245, 25, 0.0049630, 0.0000000
246, 25, 0.0050300, 0.0000000
247, 25, 0.0066640, 0.0000000
248, 25, 0.0061730, 0.0000000
249, 25, 0.0050370, 0.0000000
250, 25, 0.0053160, 0.0000000
251, 26, 0.0050890, 0.0000000
252, 26, 0.0052750, 0.0000000
253, 26, 0.0054820, 0.0000000
254, 26, 0.0062100, 0.0000000
255, 26, 0.0083240, 0.0000000
256, 26, 0.0089790, 0.0000000
257, 26, 0.0054130, 0.0000000
258, 26, 0.0056420, 0.0000000
259, 26, 0.0056000, 0.0000000
260, 26, 0.0058510, 0.0000000
261, 26, 0.0057590, 0.0000000
262, 26, 0.0058400, 0.0000000
263, 26, 0.0058970, 0.0000000
264, 26, 0.0079360, 0.0000000
265, 27, 0.0067610, 0.0000000
266, 27, 0.0060190, 0.0000000
267, 27, 0.0058930, 0.0000000
268, 27, 0.0058330, 0.0000000
269, 27, 0.0062150, 0.0000000
270, 27, 0.0058720, 0.0000000
271, 27, 0.0079480, 0.0000000
272, 27, 0.0061050, 0.0000000
273, 27, 0.0060320, 0.0000000
274, 27, 0.0078690, 0.0000000
275, 27, 0.0062370, 0.0000000
276, 27, 0.0065650, 0.0000000
277, 28, 0.0063380, 0.0000000
278, 28, 0.0065330, 0.0000000
279, 28, 0.0067930, 0.0000000
280, 28, 0.0064670, 0.0000000
281, 28, 0.0067260, 0.0000000
282, 28, 0.0073990, 0.0000000
283, 28, 0.0065980, 0.0000000
284, 28, 0.0082580, 0.0000000
285, 28, 0.0084630, 0.0000000
286, 28, 0.0122020, 0.0000000
287, 28, 0.0092700, 0.0000000
288, 28, 0.0087680, 0.0000000
289, 28, 0.0084520, 0.0000000
290, 29, 0.0070350, 0.0000000
291, 29, 0.0096200, 0.0000000
292, 29, 0.0079100, 0.0000000
293, 29, 0.0077810, 0.0000000
294, 29, 0.0071340, 0.0000000
295, 29, 0.0077990, 0.0000000
